Date,Description,Amount,Type
2024-03-01,Salary Credit,140000,Credit
2024-03-02,House Rent,-28000,Debit
2024-03-03,Electricity Bill,-2500,Debit
2024-03-04,Groceries,-3600,Debit
2024-03-05,Mobile Recharge,-899,Debit
2024-03-06,Movie Tickets,-1200,Debit
2024-03-07,Online Shopping,-5000,Debit
2024-03-08,Health Insurance,-4000,Debit
2024-03-09,Dining Out,-1500,Debit
2024-03-10,Car EMI Payment,-20000,Debit
2024-03-11,Internet Bill,-1399,Debit
2024-03-12,Gym Membership,-2500,Debit
2024-03-13,Petrol,-2900,Debit
2024-03-14,Gift Purchase,-2000,Debit
2024-03-15,Salary Credit,145000,Credit
2024-03-16,House Rent,-29000,Debit
2024-03-17,Electricity Bill,-2600,Debit
2024-03-18,Groceries,-3700,Debit
2024-03-19,Mobile Recharge,-999,Debit
2024-03-20,Movie Tickets,-1300,Debit
2024-03-21,Online Shopping,-5100,Debit
2024-03-22,Health Insurance,-4200,Debit
2024-03-23,Car EMI Payment,-20500,Debit
2024-03-24,Internet Bill,-1499,Debit
2024-03-25,Petrol,-3000,Debit
2024-03-26,Gift Purchase,-2100,Debit
2024-03-27,Salary Credit,150000,Credit
2024-03-28,House Rent,-30000,Debit
2024-03-29,Electricity Bill,-2700,Debit
2024-03-30,Groceries,-3800,Debit
2024-03-31,Mobile Recharge,-1099,Debit
2024-04-01,Movie Tickets,-1400,Debit
2024-04-02,Online Shopping,-5200,Debit
2024-04-03,Health Insurance,-4500,Debit
2024-04-04,Car EMI Payment,-21000,Debit
2024-04-05,Internet Bill,-1599,Debit
2024-04-06,Petrol,-3100,Debit
2024-04-07,Gift Purchase,-2200,Debit
2024-04-08,Salary Credit,155000,Credit
2024-04-09,House Rent,-31000,Debit
2024-04-10,Electricity Bill,-2800,Debit
2024-04-11,Groceries,-3900,Debit
2024-04-12,Mobile Recharge,-1199,Debit
2024-04-13,Movie Tickets,-1500,Debit
2024-04-14,Online Shopping,-5300,Debit
2024-04-15,Health Insurance,-4700,Debit
2024-04-16,Car EMI Payment,-21500,Debit
2024-04-17,Internet Bill,-1699,Debit
2024-04-18,Petrol,-3200,Debit
2024-04-19,Gift Purchase,-2300,Debit
